idx,premiseID,time,dailyDelivered,Temp
388,16206,2020-01-24 00:00:00,13111.0875,35.35625
389,16206,2020-01-25 00:00:00,13138.4925,40.55666667
390,16206,2020-01-26 00:00:00,13141.485,39.66875
391,16206,2020-01-27 00:00:00,13121.7975,36.54583333
392,16206,2020-01-28 00:00:00,13132.035,37.44208333
393,16206,2020-01-29 00:00:00,13135.9725,34.04458333
394,16206,2020-01-30 00:00:00,13139.28,30.41291667
395,16206,2020-01-31 00:00:00,13170.465,38.1525
396,16206,2020-02-01 00:00:00,13204.8,47.31208333
397,16206,2020-02-02 00:00:00,13216.77,51.625
398,16206,2020-02-03 00:00:00,13171.8825,22.43333333
399,16206,2020-02-04 00:00:00,9207.76499999999,13.64083333
400,16206,2020-02-05 00:00:00,13190.1525,12.63416667
401,16206,2020-02-06 00:00:00,13084.785,25.06958333
402,16206,2020-02-07 00:00:00,12785.0625,28.09583333
403,16206,2020-02-08 00:00:00,12793.095,31.34166667
404,16206,2020-02-09 00:00:00,12807.4275,28.2075
405,16206,2020-02-10 00:00:00,12802.7025,23.22
406,16206,2020-02-11 00:00:00,12812.625,21.3025
407,16206,2020-02-12 00:00:00,12804.5925,29.49333333
408,16206,2020-02-13 00:00:00,12814.2,19.72458333
409,16206,2020-02-14 00:00:00,12831.9975,29.71666667
410,16206,2020-02-15 00:00:00,12836.0925,31.67791667
411,16206,2020-02-16 00:00:00,12858.7725,34.41125
412,16206,2020-02-17 00:00:00,12856.2525,35.62291667
413,16206,2020-02-18 00:00:00,4249.35,26.15625
414,16206,2020-02-19 00:00:00,6433.5600000000095,22.85416667
415,16206,2020-02-20 00:00:00,12883.0275,18.53375
416,16206,2020-02-21 00:00:00,12903.1875,30.79833333
417,16206,2020-02-22 00:00:00,12918.15,41.18625
418,16206,2020-02-23 00:00:00,11982.6,40.37458333
419,16206,2020-02-24 00:00:00,12847.905,32.89416667
420,16206,2020-02-25 00:00:00,12844.755,25.47166667
421,16206,2020-02-26 00:00:00,12853.4175,25.44375
422,16206,2020-02-27 00:00:00,12859.4025,40.54166667
423,16206,2020-02-28 00:00:00,12885.8625,40.18041667
424,16206,2020-02-29 00:00:00,12877.515,39.94375
425,16206,2020-03-01 00:00:00,12860.9775,33.9275
426,16206,2020-03-02 00:00:00,12861.2925,32.65
427,16206,2020-03-03 00:00:00,12886.1775,40.92791667
428,16206,2020-03-04 00:00:00,12897.045,44.09875
429,16206,2020-03-05 00:00:00,12894.6825,40.10791667
430,16206,2020-03-06 00:00:00,12909.645,44.25916667
431,16206,2020-03-07 00:00:00,12920.5125,50.99208333
432,16206,2020-03-08 00:00:00,12364.8525,50.37434783
433,16206,2020-03-09 00:00:00,12215.5425,46.07916667
434,16206,2020-03-10 00:00:00,12074.7375,46.51208333
435,16206,2020-03-11 00:00:00,12066.705,48.03583333
436,16206,2020-03-12 00:00:00,12035.6775,41.11833333
437,16206,2020-03-13 00:00:00,12026.7,32.79916667
438,16206,2020-03-14 00:00:00,12029.535,32.0675
439,16206,2020-03-15 00:00:00,12054.5775,38.85291667
440,16206,2020-03-16 00:00:00,12054.105,40.53166667
441,16206,2020-03-17 00:00:00,11145.33,40.9025
442,16206,2020-03-18 00:00:00,10784.4975,45.47625
443,16206,2020-03-19 00:00:00,9670.6575,35.25708333
444,16206,2020-03-20 00:00:00,10273.41,21.90791667
445,16206,2020-03-21 00:00:00,10293.4125,30.22083333
446,16206,2020-03-22 00:00:00,10324.5975,40.34375
447,16206,2020-03-23 00:00:00,10335.9375,42.90083333
448,16206,2020-03-24 00:00:00,10347.9075,48.61416667
449,16206,2020-03-25 00:00:00,10359.8775,53.23625
450,16206,2020-03-26 00:00:00,10319.715,44.2825
451,16206,2020-03-27 00:00:00,10303.335,38.01791667
452,16206,2020-03-28 00:00:00,10318.9275,41.9375
453,16206,2020-03-29 00:00:00,10342.2375,41.94958333
454,16206,2020-03-30 00:00:00,10353.8925,46.5
455,16206,2020-03-31 00:00:00,10368.54,50.23208333
456,16206,2020-04-01 00:00:00,9995.265,50.23208333
457,16206,2020-04-02 00:00:00,10281.1275,52.12791667
458,16206,2020-04-03 00:00:00,10297.665,26.90583333
459,16206,2020-04-04 00:00:00,10339.245,28.78333333
460,16206,2020-04-05 00:00:00,10360.98,41.13125
461,16206,2020-04-06 00:00:00,10370.5875,50.72416667
462,16206,2020-04-07 00:00:00,10377.36,55.41541667
463,16206,2020-04-08 00:00:00,10379.7225,56.9525
464,16206,2020-04-09 00:00:00,10352.9475,55.71375
465,16206,2020-04-10 00:00:00,10374.84,46.09958333
466,16206,2020-04-11 00:00:00,10394.5275,54.95208333
467,16206,2020-04-12 00:00:00,10303.965,56.66708333
468,16206,2020-04-13 00:00:00,10303.1775,25.34458333
469,16206,2020-04-14 00:00:00,10329.6375,22.19625
470,16206,2020-04-15 00:00:00,10349.64,32.11625
471,16206,2020-04-16 00:00:00,10338.4575,38.34541667
472,16206,2020-04-17 00:00:00,10342.2375,27.02625
473,16206,2020-04-18 00:00:00,10376.1,25.63208333
474,16206,2020-04-19 00:00:00,10408.545,38.3875
475,16206,2020-04-20 00:00:00,10428.2325,43.90833333
476,16206,2020-04-21 00:00:00,10440.8325,50.63583333
